year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1974,5.1,4.5,4.6,7.1,9.7,12.3,13.5,13.7,10.7,6.9,5.6,6.5,4.51,7.16,13.18,7.70,8.38
1975,5.3,3.8,3.9,7.1,8.6,13.0,15.5,16.7,11.8,9.2,5.4,4.6,5.27,6.50,15.08,8.78,8.77
1976,4.6,3.8,4.0,7.0,10.3,14.9,16.5,15.7,12.0,9.3,5.2,1.3,4.34,7.12,15.70,8.87,8.74
1977,1.9,3.6,5.8,6.0,9.2,11.2,14.6,13.9,11.7,10.6,5.1,5.1,2.20,7.03,13.25,9.16,8.27
1978,2.3,1.4,5.5,5.5,10.4,12.3,13.3,13.7,12.6,10.7,7.3,3.3,2.98,7.12,13.11,10.21,8.23
1979,-0.5,0.6,3.4,6.4,8.4,12.7,14.4,13.3,11.9,10.1,5.6,4.4,1.15,6.04,13.47,9.22,7.59
1980,1.7,4.5,3.7,7.7,10.0,12.5,13.3,14.4,13.3,7.8,5.5,4.7,3.53,7.09,13.42,8.86,8.26
1981,3.8,2.5,6.3,6.8,10.2,12.0,14.1,14.8,13.1,6.8,6.5,-0.1,3.70,7.78,13.65,8.79,8.10
1982,2.1,4.2,5.0,7.6,10.1,13.6,15.1,14.4,12.6,9.1,6.5,3.4,2.01,7.54,14.37,9.43,8.66
1983,5.4,1.3,5.5,5.5,8.9,12.7,17.1,15.9,12.1,9.2,6.6,5.0,3.41,6.65,15.25,9.32,8.83
1984,2.3,3.1,3.9,7.2,8.9,13.1,15.2,15.8,12.1,9.7,6.8,4.6,3.49,6.65,14.70,9.54,8.57
1985,0.4,2.0,3.7,7.2,9.6,11.3,14.5,13.2,12.8,9.9,3.1,5.1,2.35,6.84,13.05,8.63,7.78
1986,2.5,-1.1,4.2,4.8,9.8,13.2,14.2,12.2,10.3,9.7,6.7,4.8,2.28,6.29,13.24,8.91,7.67
1987,0.7,2.9,3.3,8.7,9.0,11.3,14.5,14.1,12.2,8.3,5.8,4.8,2.76,6.98,13.35,8.78,7.99
1988,4.1,3.9,5.1,7.1,10.5,13.3,13.5,13.9,12.1,9.4,5.0,6.6,4.27,7.57,13.60,8.82,8.73
1989,5.8,4.9,6.0,5.5,11.3,12.9,16.4,14.8,12.9,10.5,5.7,3.6,5.79,7.64,14.73,9.69,9.23
1990,5.5,5.9,7.2,7.0,11.2,12.4,15.2,16.1,11.7,10.5,5.8,3.7,4.97,8.49,14.57,9.35,9.38
1991,2.5,1.3,6.6,7.0,9.9,11.0,15.9,15.6,13.1,9.0,5.7,4.2,2.57,7.84,14.20,9.26,8.54
1992,3.4,4.8,6.1,7.4,11.9,14.3,14.7,13.8,11.9,6.7,6.1,3.1,4.12,8.51,14.27,8.22,8.69
1993,4.7,4.6,5.6,8.2,10.0,13.3,13.7,13.1,11.2,7.3,4.1,3.9,4.13,7.90,13.39,7.52,8.33
1994,4.0,2.4,6.0,6.9,9.3,12.7,16.0,14.3,11.5,9.0,8.8,5.3,3.44,7.38,14.36,9.76,8.89
1995,3.5,5.0,4.2,7.6,10.2,12.9,16.6,17.3,12.4,11.6,6.8,1.6,4.60,7.33,15.62,10.30,9.17
1996,4.0,2.0,3.7,7.5,8.0,12.9,14.7,15.1,12.6,10.4,4.7,2.4,2.56,6.37,14.25,9.21,8.18
1997,2.1,5.3,7.1,7.9,10.2,12.6,15.3,17.2,12.7,9.2,7.7,5.1,3.23,8.42,15.06,9.88,9.41
1998,4.3,6.8,6.7,6.6,11.5,12.7,14.1,14.5,13.4,9.1,5.3,4.9,5.35,8.29,13.74,9.25,9.16
1999,4.5,4.2,6.2,8.3,11.5,12.4,15.9,14.8,14.2,9.8,6.8,3.6,4.54,8.65,14.39,10.27,9.37
2000,4.3,5.1,6.5,6.7,10.8,13.2,14.1,15.2,13.5,9.3,5.8,4.6,4.29,8.03,14.15,9.52,9.10
2001,2.5,3.4,4.0,6.6,11.3,12.6,15.2,15.2,12.2,12.2,6.8,3.1,3.51,7.34,14.34,10.41,8.80
2002,5.0,5.5,6.4,8.2,10.7,13.1,14.4,15.6,13.1,8.7,7.5,4.7,4.49,8.45,14.39,9.76,9.44
2003,3.7,3.4,6.7,8.8,10.7,14.5,16.2,16.5,13.1,8.1,7.3,4.2,3.96,8.74,15.74,9.50,9.47
2004,4.4,4.3,5.7,8.5,11.0,13.9,14.4,16.1,13.4,9.3,7.0,5.0,4.33,8.39,14.83,9.92,9.44
